symbol, type (pronuciation format: f - full), pronunciation, base (do not read by default), is letter (must add lower and upper)
",",,kablelis,true,
!,,šauktukas,true,
?,,klaustukas,true,
;,,kabliataškis,true,
:,,dvitaškis,true,
 ,,tarpas,true,
"""",,kabutės,true,
#,,grotelės,,
$,,doleris,,
£,,svaras,,
€,,euras,,
¢,,centas,,
¥,,jena,,
₹,,rupija,,
%,,procentai,,
&,,ampersendas,,
(,,skliausteliai atsidaro,true,
),,skliausteliai užsidaro,true,
[,,laužtiniai skliausteliai atsidaro,true,
],,laužtiniai skliausteliai užsidaro,true,
{,,riestiniai skliausteliai atsidaro,true,
},,riestiniai skliausteliai užsidaro,true,
*,,žvaigždutė,,
–,,brūkšnys,true,
—,,ilgasis brūkšnys,true,
-,,trumpas brūkšnelis,true,
/,,dešininis pasvirasis brūkšnys,true,
\,,kairinis pasvirasis brūkšnys,true,
<,f,ma-žiau3,,
>,,daugiau,,
≤,f,ma-žiau3 ar-ba4 ly9-gu,,
≥,,daugiau arba lygu,,
=,,lygu,,
@,,eta,,
^,,stogelis,,
_,,pabraukimas,,
|,,vertikalusis brūkšnys,,
`,,kairinis kirtis,,
~,,riestinis kirtis,,
´,,dešininis kirtis,,
¦,,perskirtas vertikalusis brūkšnys,,
…,,daugtaškis,true,
„,,kabutės atsidaro,true,
“,,kabutės užsidaro,true,
’,,figūrinis apostrofas,true,
¬,,neigimo ženklas,,
●,,punktas,,
¨,,du taškai viršuje,,
■,,punktas,,
▪,,punktas,,
◾,,punktas,,
•,,punktas,,
,,punktas,,
◦,,punktas,,
§,,paragrafas,,
¶,,pastraipos ženklas,,
°,,laipsniai,,
′,,apostrofas,true,
″,,dvigubas apostrofas,true,
«,,dvigubos laužtinės kabutės atsidaro,true,
»,,dvigubos laužtinės kabutės užsidaro,true,
‹,,laužtinė kabutė atsidaro,true,
›,,laužtinė kabutė užsidaro,true,
¹,,viršutinis indeksas vienas,,
²,,viršutinis indeksas du,,
³,,viršutinis indeksas trys,,
⁴,,viršutinis indeksas keturi,,
⁵,,viršutinis indeksas penki,,
⁶,,viršutinis indeksas šeši,,
⁷,,viršutinis indeksas septyni,,
⁸,,viršutinis indeksas aštuoni,,
⁹,,viršutinis indeksas devyni,,
⁰,,viršutinis indeksas nulis,,
₀,,apatinis indeksas nulis,,
₁,,apatinis indeksas vienas,,
₂,,apatinis indeksas du,,
₃,,apatinis indeksas trys,,
₄,,apatinis indeksas keturi,,
₅,,apatinis indeksas penki,,
₆,,apatinis indeksas šeši,,
₇,,apatinis indeksas septyni,,
₈,,apatinis indeksas aštuoni,,
₉,,apatinis indeksas devyni,,
0,,nulis,,
1,,vienas,,
2,,du,,
3,,trys,,
4,,keturi,,
5,,penki,,
6,,šeši,,
7,,septyni,,
8,,aštuoni,,
9,,devyni,,
®,,registruotas prekės ženklas,,
™,,prekės ženklas,,
©,,autorių teisės,,
℗,,garso įrašo autoriaus teisės,,
−,,minus,,
+,,plius,,
±,,plius arba minus,,
×,,dauginti,,
÷,,dalinti iš,,
→,,rodyklė dešinėn,,
←,,rodyklė kairėn,,
↑,,rodyklė aukštyn,,
↓,,rodyklė žemyn,,
↕,,dvipusė vertikali rodyklė,,
↔,,dvipusė horizontali rodyklė,,
↖,,įstriža rodyklė į viršų kairėn,,
↗,,įstriža rodyklė į viršų dešinėn,,
↘,,įstriža rodyklė į apačią dešinėn,,
↙,,įstriža rodyklė į apačią kairėn ,,
✓,,varnelė,,
✔,,varnelė,,
†,,kryželis,,
‡,,dvigubas kryželis,,
¼,,viena ketvirtoji,,
½,,viena antroji,,
¾,,trys ketvirtosios,,
⅐,,viena septintoji,,
⅑,,viena devintoji,,
⅒,,viena dešimtoji,,
⅓,,viena trečioji,,
⅔,,dvi trečiosios,,
⅕,,viena penktoji,,
⅖,,dvi penktosios,,
⅗,,trys penktosios,,
⅘,,keturios penktosios,,
⅙,,viena šeštoji,,
⅚,,penkios šeštosios,,
⅛,,viena aštuntoji,,
⅜,,trys aštuntosios,,
⅝,,penkios aštuntosios,,
⅞,,septynios aštuntosios,,
α,,alfa,,true
β,f,bE4-ta,,true
γ,,gama,,true
δ,f,dEl3-ta,,true
ε,,epsilon,,true
ζ,f,dzE4-ta,,true
η,f,E4-ta,,true
θ,f,tE4-ta,,true
ι,f,jo4-ta,,true
κ,,kapa,,true
λ,,lambda,,true
μ,,mi,,true
ν,,ni,,true
Ξ,,ksi,,true
π,,pi,,true
ρ,,ro,,true
Σ,,sigma,,true
τ,,tau,,true
υ,,ipsilon,,true
Φ,,fi,,true
χ,,chi,,true
Ψ,,psi,,true
ω,f,O-mE4-ga,,true